iter	RMSE
498	1326408.243
499	1324957.158
500	1323067.832
501	1321863.012
502	1319992.17
503	1318078.114
504	1316436.402
505	1316238.007
506	1312761.407
507	1312097.369
508	1310865.283
509	1310371.204
510	1309965.192
511	1308275.587
512	1307208.918
513	1306405.679
514	1306033.812
515	1304194.179
516	1302865.757
517	1300577.869
518	1299406.98
519	1299037.993
520	1298692.266
521	1297673.49
522	1293802.439
523	1292361.92
524	1290269.048
525	1286589.672
526	1285292.475
527	1284030.285
528	1282970.211
529	1282329.329
530	1281814.193
531	1280043.465
532	1278815.369
533	1277626.303
534	1276371.59
535	1275182.607
536	1273846.455
537	1272377.968
538	1269885.322
539	1269118.859
540	1269039.686
541	1267856.601
542	1265453.092
543	1265007.117
544	1263443.432
545	1261685.386
546	1261170.643
547	1259246.944
548	1258494.384
549	1257353.009
550	1255631.136
551	1254987.682
552	1253611.445
553	1251834.433
554	1251274.183
555	1250580.309
556	1249281.802
557	1248401.569
558	1247524.213
559	1245707.234
560	1244550.197
561	1243068.406
562	1241902.371
563	1240270.364
564	1238723.49
565	1237218.535
566	1236861.343
567	1235393.764
568	1233972.068
569	1232768.402
570	1231997.499
571	1231664.31
572	1230502.514
573	1228593.968
574	1227709.093
575	1226761.968
576	1223978.238
577	1222928.73
578	1221159.715
579	1220423.676
580	1219280.987
581	1218272.435
582	1216645.177
583	1215927.062
584	1215374.903
585	1214520.775
586	1213335.204
587	1212639.703
588	1211988.888
589	1211200.591
590	1209374.826
591	1207995.036
592	1205491.285
593	1204343.21
594	1203492.316
595	1202520.799
596	1201618.703
597	1199821.307
598	1198794.814
599	1197985.948
600	1197482.681
601	1196246.499
602	1195048.2
603	1192241.946
604	1189505.761
605	1189211.66
606	1188172.43
607	1187630.394
608	1186221.209
609	1184545.087
610	1183215.482
611	1181509.675
612	1180537.787
613	1179141.995
614	1176922.814
615	1175843.222
616	1175012.332
617	1172482.183
618	1171049.3
619	1170445.122
620	1170035.262
621	1167635.579
622	1165234.888
623	1164186.857
624	1162468.748
625	1161011.429
626	1160618.228
627	1159401.112
628	1158830.105
629	1158150.775
630	1155921.597
631	1153697.416
632	1151873.304
633	1149693.153
634	1148640.359
635	1147642.626
636	1147385.198
637	1146509.415
638	1145473.412
639	1143733.908
640	1143321.925
641	1142577.083
642	1140900.694
643	1140544.383
644	1140158.48
645	1139493.794
646	1137361.507
647	1136662.475
648	1134512.666
649	1133864.559
650	1133355.154
651	1132690.28
652	1131362.061
653	1130715.533
654	1129888.526
655	1128139.529
656	1126600.405
657	1126060.421
658	1123886.642
659	1123823.518
660	1122900.091
661	1122307.792
662	1121763.205
663	1119691.59
664	1119476.735
665	1118687.826
666	1117203.016
667	1116887.118
668	1116384.696
669	1115618.848
670	1114044.924
671	1113477.298
672	1112214.384
673	1111384.976
674	1111083.336
675	1110362.522
676	1109380.2
677	1108985.629
678	1108665.177
679	1106887.871
680	1106839.122
681	1106229.948
682	1105894.211
683	1105609.446
684	1105024.354
685	1104707.372
686	1104434.807
687	1103760.685
688	1102615.262
689	1101654.223
690	1099187.596
691	1098571.765
692	1096885.423
693	1096620.606
694	1096568.384
695	1095959.602
696	1095278.691
697	1094711.169
698	1094127.283
699	1093797.694
700	1092632.096
701	1092542.119
702	1092295.602
703	1091675.941
704	1090385.131
705	1090041.515
706	1089343.341
707	1087692.354
708	1086548.397
709	1084704.103
710	1083993.089
711	1082389.482
712	1082131.362
713	1080077.25
714	1079692.108
715	1078757.053
716	1076132.155
717	1075903.65
718	1075371.453
719	1073620.083
720	1073114.869
721	1072581.909
722	1070414.231
723	1068872.639
724	1068209.935
725	1066613.959
726	1065731.983
727	1064675.724
728	1063460.457
729	1062596.618
730	1061118.136
731	1058871.633
732	1057341.581
733	1056036.94
734	1055048.059
735	1054476.948
736	1053037.763
737	1052825.305
738	1051707.994
739	1050348.979
740	1048916.695
741	1048268.033
742	1047921.981
743	1046343.453
744	1046146.029
745	1044699.169
746	1043824.788
747	1043295.571
748	1042441.475
749	1042021.963
750	1041539.632
751	1040968.338
752	1040350.012
753	1037895.389
754	1037530.469
755	1037008.56
756	1036694.761
757	1035874.749
758	1035368.511
759	1033163.718
760	1033061.01
761	1031825.432
762	1029732.903
763	1028996.112
764	1026963.341
765	1025699.164
766	1024353.564
767	1023961.542
768	1023834.44
769	1022034.216
770	1021185.133
771	1020893.936
772	1020827.72
773	1019586.423
774	1018119.611
775	1017943.816
776	1017002.82
777	1016402.471
778	1015816.534
779	1015334.298
780	1015066.767
781	1014541.897
782	1014375.445
783	1012420.007
784	1011850.041
785	1011485.921
786	1009830.283
787	1009139.201
788	1007906.133
789	1006129.588
790	1004949.648
791	1004920.925
792	1004882.722
793	1004020.475
794	1003802.511
795	1003432.863
796	1002787.397
797	1001485.924
798	1001454.127
799	1001271.607
800	1000145.687
801	999762.3192
802	998898.3476
803	998491.0455
804	998055.9349
805	997552.6726
806	996370.0207
807	995124.6729
808	994778.7794
809	994564.6285
810	993476.5564
811	992349.1576
812	991217.5533
813	990127.6903
814	988168.2275
815	987495.7855
816	986081.7802
817	985378.8572
818	984105.2608
819	982942.0649
820	982775.4945
821	982520.1021
822	982227.9757
823	981588.9283
824	980798.8184
825	979141.2044
826	978332.5648
827	977032.1319
828	976821.8826
829	976078.2326
830	974246.5314
831	974086.1056
832	972765.1463
833	972476.2554
834	971949.2142
835	971187.2601
836	970293.554
837	969299.6203
838	969048.9817
839	967109.7
840	966246.8217
841	965405.7687
842	964382.6001
843	964231.0576
844	963994.2848
845	963101.4182
846	962769.5635
847	961187.1072
848	961145.1012
849	959657.1443
850	958865.1119
851	957867.5209
852	957095.2381
853	956284.3604
854	955286.9518
855	954057.3321
856	953640.7591
857	952811.1125
858	952235.8605
859	952005.3047
860	951693.9941
861	950983.1855
862	950502.8598
863	949943.5863
864	949113.2847
865	948427.6258
866	947821.6508
867	947786.9275
868	946393.1571
869	946114.8419
870	945712.2078
871	945124.5963
872	944252.7737
873	943250.3895
874	942727.5985
875	941165.1927
876	940521.912
877	940484.4211
878	939789.5885
879	939360.841
880	938243.992
881	937312.3008
882	936693.4621
883	936277.4617
884	935874.3324
885	934359.6874
886	933152.8159
887	932759.3662
888	932375.9895
889	931575.4063
890	931201.1295
891	929291.2463
892	928911.1639
893	928611.4659
894	928326.886
895	927836.8715
896	927727.753
897	927388.0964
898	926355.9038
899	925922.2737
900	925127.6503
901	923801.8564
902	922585.4571
903	922236.872
904	922026.4784
905	920352.3979
906	918946.0977
907	917643.2785
908	917256.1247
909	916945.1169
910	915936.0392
911	915385.7621
912	914260.9932
913	913758.5366
914	912246.2989
915	911127.3179
916	910332.311
917	909834.074
918	909311.1353
919	908609.2852
920	907389.569
921	906461.9855
922	905791.2679
923	905028.2193
924	904544.6673
925	903675.0313
926	902535.3836
927	902369.894
928	901569.2932
929	901288.1396
930	900681.9532
931	900008.0531
932	898954.0175
933	898751.7572
934	897354.5901
935	897194.5857
936	896269.8653
937	895935.4642
938	895634.0694
939	895262.6249
940	895017.1515
941	894421.0905
942	894324.6767
943	892987.8969
944	892161.7881
945	891218.3542
946	890633.7458
947	890099.5903
948	888679.0913
949	887749.4934
950	887174.5371
951	886545.0328
952	886254.3429
953	886189.9149
954	885003.0552
955	884256.8727
956	883778.8398
957	883567.1509
958	882808.1093
959	882143.9909
960	881340.7821
961	881099.8697
962	879400.8865
963	878195.4147
964	877261.1159
965	876500.2485
966	876226.2259
967	875889.0076
968	875460.7474
969	874778.1065
970	874342.1832
971	873806.0142
972	873388.7547
973	873015.0874
974	872181.4408
975	871085.9112
976	870544.9709
977	870119.5699
978	869675.8847
979	869516.0049
980	868837.1631
981	868358.5459
982	868099.6785
983	867513.6787
984	867295.5372
985	866805.0708
986	866774.0155
987	866219.9776
988	865747.2243
989	865347.1655
990	865015.4406
991	864746.866
992	863772.4882
993	863447.6456
994	863350.7119
995	862087.6878
996	861611.9071
997	860470.8874
998	860010.2285
999	859476.7736
